index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
0,Carnegie Community Centre,"401 Main St, Vancouver, BC V6A 2T7",Community center,49.28097,-123.10011,,,,,,,0%,0%,0%,20%,35%,77%,,47%,61%,53%,40%,48%,46%,34%,26%,11%,13%,0%,,,,,,,0%,0%,0%,27%,28%,41%,,59%,46%,54%,51%,36%,43%,34%,28%,20%,9%,0%,,,,,,,0%,0%,0%,30%,39%,36%,,100%,58%,44%,48%,48%,35%,32%,22%,23%,15%,0%,,,,,,,0%,0%,0%,23%,41%,48%,,51%,87%,51%,43%,42%,44%,28%,23%,15%,16%,0%,,,,,,,0%,0%,0%,27%,28%,52%,,47%,51%,76%,45%,41%,37%,34%,22%,18%,12%,0%,,,,,,,0%,0%,0%,28%,35%,37%,,57%,46%,51%,63%,42%,38%,28%,24%,15%,16%,0%,,,,,,,0%,0%,0%,28%,50%,44%,,63%,57%,43%,49%,57%,39%,32%,18%,17%,15%,0%,53%,97%,48%,44%,56%,59%,42%,,,,,,,,
1,Carnegie Community Centre,"401 Main St, Vancouver, BC V6A 2T7",Community center,49.28097,-123.10011,,,,,,,0%,0%,0%,20%,35%,77%,,47%,61%,53%,40%,48%,46%,34%,26%,11%,13%,0%,,,,,,,0%,0%,0%,27%,28%,41%,,59%,46%,54%,51%,36%,43%,34%,28%,20%,9%,0%,,,,,,,0%,0%,0%,30%,39%,36%,,100%,58%,44%,48%,48%,35%,32%,22%,23%,15%,0%,,,,,,,0%,0%,0%,23%,41%,48%,,51%,87%,51%,43%,42%,44%,28%,23%,15%,16%,0%,,,,,,,0%,0%,0%,27%,28%,52%,,47%,51%,76%,45%,41%,37%,34%,22%,18%,12%,0%,,,,,,,0%,0%,0%,28%,35%,37%,,57%,46%,51%,63%,42%,38%,28%,24%,15%,16%,0%,,,,,,,0%,0%,0%,28%,50%,44%,,63%,57%,43%,49%,57%,39%,32%,18%,17%,15%,0%,53%,97%,48%,44%,56%,59%,42%,,,,,,,,
2,Coal Harbour Community Centre,"480 Broughton St, Vancouver, BC V6G 3H4",Community center,49.29006,-123.12569,,,,,,,0%,0%,0%,0%,53%,50%,,100%,63%,50%,68%,0%,49%,31%,0%,35%,0%,0%,,,,,,,0%,0%,0%,36%,39%,62%,,54%,97%,56%,45%,0%,0%,56%,19%,0%,0%,0%,,,,,,,0%,0%,0%,38%,49%,55%,,54%,49%,92%,52%,53%,0%,0%,47%,12%,0%,0%,,,,,,,0%,0%,0%,40%,47%,62%,,67%,54%,43%,73%,57%,63%,0%,0%,33%,0%,0%,,,,,,,0%,0%,0%,47%,62%,56%,,72%,57%,53%,37%,0%,61%,63%,0%,0%,0%,0%,,,,,,,0%,0%,0%,47%,53%,82%,,73%,76%,52%,46%,45%,0%,54%,52%,0%,0%,0%,,,,,,,0%,0%,0%,44%,44%,51%,,69%,63%,79%,43%,46%,44%,0%,48%,39%,0%,0%,53%,50%,69%,63%,72%,64%,91%,,,,,,,,
3,West End Community Centre,"870 Denman St, Vancouver, BC V6G 2L8",Community center,49.29049,-123.13656,,,,,,,0%,0%,0%,30%,57%,56%,,63%,45%,64%,54%,42%,67%,53%,0%,0%,0%,0%,,,,,,,0%,0%,0%,43%,60%,67%,,49%,59%,61%,80%,0%,38%,60%,39%,0%,0%,0%,,,,,,,0%,0%,0%,31%,57%,77%,,57%,46%,56%,71%,92%,0%,40%,42%,0%,0%,0%,,,,,,,0%,0%,0%,63%,45%,55%,,60%,60%,46%,50%,71%,100%,0%,39%,0%,0%,0%,,,,,,,0%,0%,0%,45%,93%,49%,,84%,52%,59%,51%,0%,64%,82%,0%,0%,0%,0%,,,,,,,0%,0%,0%,39%,54%,92%,,43%,81%,50%,64%,58%,0%,40%,59%,0%,0%,0%,,,,,,,0%,0%,0%,42%,49%,60%,,43%,50%,74%,46%,70%,56%,0%,18%,0%,0%,0%,56%,60%,68%,79%,47%,40%,79%,,,,,,,,
4,Evelyne Saller Centre,"404 Alexander St, Vancouver, BC V6A 1C6",Community center,49.28382,-123.09489,,,,,,,0%,0%,0%,0%,83%,84%,,67%,78%,93%,74%,78%,47%,25%,25%,26%,15%,0%,,,,,,,0%,0%,0%,47%,54%,89%,,73%,68%,81%,89%,68%,60%,35%,15%,17%,19%,0%,,,,,,,0%,0%,0%,57%,74%,73%,,78%,68%,78%,81%,73%,50%,40%,26%,14%,0%,0%,,,,,,,0%,0%,0%,0%,85%,84%,,68%,70%,70%,77%,75%,41%,38%,26%,15%,15%,0%,,,,,,,0%,0%,0%,57%,48%,100%,,63%,68%,71%,68%,72%,53%,26%,28%,28%,8%,0%,,,,,,,0%,0%,0%,49%,83%,63%,,83%,61%,75%,71%,62%,55%,40%,15%,20%,26%,0%,,,,,,,0%,0%,0%,55%,71%,88%,,82%,82%,68%,82%,66%,43%,37%,30%,12%,0%,0%,82%,83%,78%,69%,85%,94%,69%,,,,,,,,
5,The Gathering Place Community Centre,"609 Helmcken St, Vancouver, BC V6B 5R1",Community center,49.27803,-123.12344,,,,,,,0%,0%,0%,22%,49%,62%,,63%,69%,91%,81%,77%,57%,39%,0%,0%,0%,0%,,,,,,,0%,0%,0%,36%,35%,60%,,75%,66%,62%,87%,76%,60%,40%,0%,0%,0%,0%,,,,,,,0%,0%,0%,35%,57%,46%,,84%,70%,67%,61%,81%,57%,45%,0%,0%,0%,0%,,,,,,,0%,0%,0%,42%,48%,77%,,70%,80%,73%,68%,56%,63%,32%,0%,0%,0%,0%,,,,,,,0%,0%,0%,41%,60%,65%,,68%,71%,75%,77%,67%,43%,41%,0%,0%,0%,0%,,,,,,,0%,0%,0%,27%,54%,62%,,100%,77%,76%,73%,76%,60%,41%,0%,0%,0%,0%,,,,,,,0%,0%,0%,36%,42%,68%,,73%,91%,80%,83%,65%,63%,50%,0%,0%,0%,0%,74%,78%,68%,59%,94%,74%,67%,,,,,,,,
6,Strathcona Community Centre,"601 Keefer St, Vancouver, BC V6A 3V8",Community center,49.27966,-123.09179,,,,,,,0%,0%,0%,0%,57%,20%,,85%,51%,49%,0%,43%,74%,38%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,74%,53%,,44%,70%,58%,54%,0%,32%,58%,23%,0%,0%,0%,,,,,,,0%,0%,0%,21%,37%,92%,,38%,42%,54%,62%,55%,0%,18%,34%,0%,0%,0%,,,,,,,0%,0%,0%,46%,31%,40%,,39%,45%,47%,37%,58%,45%,0%,17%,0%,0%,0%,,,,,,,0%,0%,0%,21%,79%,32%,,52%,44%,51%,52%,0%,34%,40%,0%,0%,0%,0%,,,,,,,0%,0%,0%,7%,30%,97%,,32%,0%,46%,68%,50%,0%,19%,22%,0%,0%,0%,,,,,,,0%,0%,0%,41%,8%,36%,,47%,40%,0%,49%,72%,44%,0%,9%,0%,0%,0%,35%,33%,48%,81%,37%,41%,100%,,,,,,,,
9,Creekside Community Recreation Centre,"1 Athletes Way, Vancouver, BC V5Y 0B1",Recreation center,49.27174,-123.10538,,,,,,,0%,9%,,26%,31%,31%,,100%,37%,,66%,72%,81%,,0%,36%,,0%,,,,,,0%,,0%,15%,,33%,41%,,,96%,42%,,77%,79%,79%,,0%,0%,,,,,,,0%,4%,,0%,22%,,40%,,43%,,94%,58%,,81%,73%,67%,,0%,,,,,,,0%,3%,9%,,46%,27%,,,46%,47%,,87%,77%,,75%,58%,48%,,0%,,,,,,,6%,5%,13%,,70%,32%,,54%,44%,53%,,0%,87%,,65%,39%,0%,,,,,,,0%,,11%,10%,18%,,88%,,,55%,47%,62%,,0%,77%,,0%,0%,,,,,,,0%,3%,,18%,22%,24%,,,37%,,60%,55%,75%,,0%,61%,,0%,,,38%,43%,48%,,36%,93%,,,,,,,,
13,False Creek Community Centre,"1318 Cartwright St, Vancouver, BC V6H 3R8",Community center,49.26843,-123.13239,,,,,,,0%,0%,0%,73%,44%,49%,,82%,43%,41%,0%,43%,76%,53%,0%,30%,0%,0%,,,,,,,0%,0%,0%,45%,100%,46%,,25%,72%,48%,54%,0%,38%,81%,28%,0%,0%,0%,,,,,,,0%,0%,0%,43%,32%,96%,,43%,25%,61%,56%,64%,0%,32%,64%,10%,0%,0%,,,,,,,0%,0%,0%,63%,42%,38%,,35%,39%,34%,0%,64%,69%,0%,28%,42%,0%,0%,,,,,,,0%,0%,0%,43%,81%,45%,,71%,41%,43%,52%,0%,61%,67%,0%,23%,0%,0%,,,,,,,0%,0%,0%,33%,47%,86%,,39%,66%,43%,46%,69%,0%,56%,53%,0%,0%,0%,,,,,,,0%,0%,0%,30%,47%,48%,,38%,37%,55%,51%,64%,66%,0%,41%,37%,0%,0%,37%,50%,41%,83%,33%,39%,84%,,,,,,,,
