14,Roundhouse Community Arts & Recreation Centre,"181 Roundhouse Mews, Vancouver, BC V6Z 2W3",Recreation center,49.27336,-123.12174,,,,,,,0%,0%,0%,46%,35%,39%,,100%,35%,38%,48%,62%,56%,33%,0%,28%,0%,0%,,,,,,,0%,0%,0%,26%,68%,43%,,36%,88%,40%,41%,0%,70%,53%,26%,0%,0%,0%,,,,,,,0%,0%,0%,24%,36%,70%,,33%,43%,67%,45%,44%,0%,66%,40%,17%,0%,0%,,,,,,,0%,0%,0%,47%,30%,39%,,43%,35%,48%,47%,51%,45%,0%,61%,26%,0%,0%,,,,,,,0%,0%,0%,18%,73%,31%,,66%,46%,33%,48%,0%,50%,40%,0%,48%,0%,0%,,,,,,,0%,0%,0%,22%,29%,92%,,38%,66%,51%,41%,43%,0%,46%,31%,0%,0%,0%,,,,,,,0%,0%,0%,25%,32%,34%,,31%,38%,58%,56%,50%,41%,0%,40%,20%,0%,0%,37%,39%,41%,73%,37%,31%,99%,,,,,,,,
16,Mount Pleasant Community Centre,"1 Kingsway, Vancouver, BC V5T 3H7",Community center,49.26416,-123.10026,,,,,,,0%,31%,,44%,58%,57%,,82%,67%,,63%,76%,73%,,0%,37%,,0%,,,,,,0%,,0%,42%,,56%,63%,,,78%,70%,,67%,70%,69%,,0%,0%,,,,,,,0%,17%,,34%,53%,,66%,,62%,,77%,73%,,60%,60%,54%,,0%,,,,,,,0%,17%,23%,,67%,66%,,,59%,64%,,69%,76%,,50%,47%,37%,,0%,,,,,,,23%,23%,31%,,92%,73%,,58%,60%,70%,,50%,71%,,39%,33%,0%,,,,,,,0%,,32%,34%,40%,,100%,,,55%,64%,74%,,0%,63%,,32%,0%,,,,,,,0%,20%,,35%,45%,50%,,,69%,,60%,73%,75%,,0%,52%,,0%,,,57%,63%,63%,,73%,88%,,,,,,,,
17,RayCam Co-operative Centre,"920 E Hastings St, Vancouver, BC V6A 3T1",Community center,49.28079,-123.08387,,,,,,,,0%,0%,19%,22%,50%,,,36%,74%,76%,0%,77%,47%,,0%,0%,0%,,,,,,,0%,,0%,39%,28%,22%,,76%,,44%,82%,74%,0%,55%,39%,,0%,0%,,,,,,,0%,0%,,20%,38%,33%,,63%,63%,,58%,73%,66%,0%,41%,0%,,0%,,,,,,,0%,0%,0%,,33%,30%,,14%,68%,66%,,61%,58%,44%,0%,0%,0%,,,,,,,,0%,0%,0%,55%,,41%,,41%,26%,87%,69%,,53%,33%,23%,0%,0%,0%,,,,,,,0%,0%,0%,30%,73%,,,46%,55%,30%,100%,73%,,42%,23%,0%,0%,0%,,,,,,,0%,0%,0%,23%,39%,85%,,44%,66%,60%,33%,100%,57%,,38%,0%,0%,0%,82%,53%,15%,42%,36%,49%,,,,,,,,,
18,Ajyal Islamic Centre,"181 Keefer Pl #202, Vancouver, BC V6B 6C1",Community center,49.28019,-123.10792,,,0%,2%,4%,3%,7%,8%,6%,11%,12%,12%,,19%,76%,19%,20%,18%,14%,15%,26%,18%,16%,10%,,,0%,0%,1%,8%,5%,7%,10%,8%,11%,16%,,17%,22%,48%,17%,18%,17%,16%,19%,26%,16%,10%,,,0%,2%,5%,3%,6%,8%,7%,14%,11%,14%,,14%,18%,20%,28%,12%,14%,18%,13%,23%,18%,13%,,,0%,2%,6%,8%,4%,6%,11%,5%,24%,12%,,20%,18%,16%,20%,22%,15%,14%,17%,14%,20%,12%,,,0%,1%,4%,9%,9%,4%,6%,12%,8%,51%,,18%,19%,20%,13%,18%,20%,16%,17%,15%,10%,15%,,,0%,1%,2%,7%,10%,10%,6%,10%,15%,10%,,17%,18%,20%,19%,11%,21%,21%,21%,18%,8%,6%,,,0%,5%,3%,4%,9%,7%,10%,10%,12%,15%,,100%,19%,21%,20%,18%,11%,25%,21%,19%,17%,5%,16%,14%,18%,15%,16%,85%,16%,,,,,,,,
22,Britannia Community Centre,"1661 Napier St, Vancouver, BC V5L 3X1",Community center,49.27547,-123.07059,,,,,,,0%,19%,,27%,44%,40%,,97%,46%,,47%,67%,67%,,0%,0%,,0%,,,,,,0%,,0%,37%,,26%,38%,,,82%,58%,,39%,59%,65%,,0%,0%,,,,,,,0%,30%,,0%,52%,,20%,,45%,,75%,72%,,45%,60%,44%,,0%,,,,,,,0%,6%,17%,,0%,69%,,,26%,40%,,69%,86%,,56%,60%,0%,,0%,,,,,,,5%,10%,19%,,50%,76%,,31%,34%,44%,,65%,76%,,68%,0%,0%,,,,,,,0%,,12%,23%,16%,,87%,,,44%,59%,46%,,60%,65%,,0%,0%,,,,,,,0%,17%,,30%,38%,31%,,,59%,,50%,59%,62%,,0%,36%,,0%,,,48%,20%,18%,,68%,100%,,,,,,,,
23,Kitsilano Community Centre,"2690 Larch St, Vancouver, BC V6K 4K9",Community center,49.26153,-123.16201,,,,,,,0%,29%,45%,63%,56%,56%,,97%,47%,76%,82%,79%,88%,82%,0%,52%,0%,0%,,,,,,,0%,0%,37%,48%,80%,56%,,46%,98%,52%,84%,79%,76%,83%,69%,0%,0%,0%,,,,,,,0%,39%,47%,47%,55%,85%,,60%,44%,100%,63%,89%,67%,76%,70%,44%,0%,0%,,,,,,,0%,32%,47%,66%,59%,55%,,55%,66%,55%,95%,68%,87%,52%,69%,56%,0%,0%,,,,,,,0%,32%,39%,49%,80%,62%,,83%,58%,74%,65%,83%,71%,84%,0%,55%,0%,0%,,,,,,,0%,0%,42%,47%,51%,90%,,61%,84%,69%,84%,76%,73%,71%,75%,0%,0%,0%,,,,,,,0%,37%,43%,49%,53%,50%,,48%,66%,82%,77%,89%,87%,53%,61%,57%,0%,0%,47%,58%,54%,86%,57%,59%,94%,,,,,,,,
24,John Braithwaite Community Centre,"145 W 1st St, North Vancouver, BC V7M 1B1",Community center,49.31232,-123.08087,,,,,,,0%,31%,46%,56%,94%,59%,,89%,90%,84%,0%,71%,85%,80%,0%,0%,0%,0%,,,,,,,0%,0%,44%,62%,86%,96%,,63%,80%,92%,88%,0%,63%,72%,52%,0%,0%,0%,,,,,,,0%,30%,44%,59%,76%,89%,,50%,60%,72%,89%,94%,0%,47%,53%,0%,0%,0%,,,,,,,0%,25%,50%,75%,73%,76%,,68%,55%,71%,51%,80%,85%,0%,0%,0%,0%,0%,,,,,,,0%,29%,38%,75%,92%,80%,,65%,62%,69%,86%,0%,63%,74%,0%,0%,0%,0%,,,,,,,0%,0%,46%,48%,93%,99%,,78%,63%,65%,88%,98%,0%,59%,53%,0%,0%,0%,,,,,,,0%,31%,31%,71%,55%,88%,,88%,80%,61%,72%,100%,93%,0%,52%,0%,0%,0%,75%,56%,82%,79%,79%,84%,92%,,,,,,,,
25,CanMar Events,"134 Abbott St #602, Vancouver, BC V6B 2K4",Event venue,49.28418,-123.10604,,,0%,7%,30%,,0%,0%,15%,30%,15%,,,30%,38%,0%,30%,23%,,0%,15%,7%,15%,0%,,23%,,15%,7%,,0%,0%,7%,7%,46%,15%,,0%,53%,38%,7%,15%,46%,,7%,23%,0%,7%,,23%,7%,,0%,,,23%,7%,30%,0%,100%,,,0%,38%,38%,7%,0%,53%,,23%,23%,0%,,15%,23%,0%,,,0%,,15%,0%,30%,0%,,0%,,0%,46%,53%,0%,0%,38%,,46%,30%,,7%,30%,7%,15%,,0%,38%,,0%,7%,30%,,53%,0%,,7%,15%,23%,0%,0%,38%,,53%,,30%,0%,15%,7%,,0%,7%,23%,,0%,15%,,0%,53%,0%,,0%,15%,23%,0%,0%,15%,,,15%,15%,7%,0%,,0%,38%,15%,30%,,0%,,15%,0%,61%,7%,,0%,23%,23%,7%,7%,15%,0%,,7%,69%,0%,15%,46%,,23%,7%,7%,0%,23%,38%,
27,Britannia Information Centre,"1661 Napier St, Vancouver, BC V5L 4X4",Community center,49.27547,-123.07059,,,,,,,0%,0%,38%,0%,17%,39%,,66%,50%,61%,0%,39%,42%,0%,0%,0%,0%,0%,,,,,,,0%,0%,5%,50%,35%,13%,,36%,63%,50%,69%,0%,38%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,54%,60%,,55%,48%,50%,69%,67%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,29%,33%,25%,47%,,22%,51%,42%,29%,73%,47%,0%,0%,0%,0%,0%,,,,,,,0%,0%,30%,45%,76%,41%,,54%,29%,39%,61%,0%,75%,0%,0%,0%,0%,0%,,,,,,,0%,0%,16%,32%,30%,80%,,29%,58%,42%,32%,92%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,22%,36%,22%,,61%,50%,57%,42%,38%,100%,0%,0%,0%,0%,0%,27%,41%,17%,58%,27%,60%,79%,,,,,,,,
31,Douglas Park Community Centre,"801 W 22nd Ave, Vancouver, BC V5Z 1Z8",Community center,49.25217,-123.1225,,,,,,,0%,12%,24%,32%,32%,36%,,81%,43%,47%,0%,40%,38%,27%,0%,0%,0%,0%,,,,,,,0%,0%,22%,37%,46%,40%,,47%,69%,53%,56%,0%,26%,28%,15%,0%,0%,0%,,,,,,,0%,7%,0%,33%,40%,58%,,35%,57%,55%,65%,55%,0%,15%,20%,0%,0%,0%,,,,,,,0%,9%,15%,65%,39%,38%,,37%,34%,58%,0%,60%,46%,0%,10%,0%,0%,0%,,,,,,,0%,5%,19%,17%,90%,39%,,57%,40%,35%,61%,0%,46%,37%,0%,0%,0%,0%,,,,,,,0%,0%,13%,26%,26%,100%,,34%,58%,41%,42%,51%,0%,28%,22%,0%,0%,0%,,,,,,,0%,11%,0%,22%,31%,30%,,34%,41%,59%,46%,43%,39%,0%,23%,0%,0%,0%,44%,37%,45%,60%,36%,34%,95%,,,,,,,,
32,Robert Lee YMCA,"955 Burrard St, Vancouver, BC V6Z 1Y2",Fitness center,49.28183,-123.1255,,,,,,15%,0%,,40%,40%,47%,,,74%,,54%,69%,87%,,83%,0%,,,0%,,,,,0%,,28%,23%,,43%,39%,52%,,46%,64%,,62%,86%,86%,,58%,0%,,,,,,,0%,14%,,37%,41%,,49%,41%,,,47%,56%,,73%,93%,75%,,34%,0%,,,,,,0%,15%,26%,,39%,60%,,55%,,55%,,58%,51%,,75%,82%,53%,,,0%,,,,,,12%,29%,35%,,42%,76%,,,43%,55%,,77%,44%,,62%,60%,30%,,,,,,,0%,,24%,37%,40%,,48%,84%,,58%,45%,63%,,97%,34%,,44%,37%,,,,,,,0%,20%,,35%,40%,44%,,50%,,,54%,54%,75%,,100%,0%,,26%,0%,,50%,,55%,42%,60%,,83%,,,,,,,,
33,Trout Lake Community Centre,"3360 Victoria Dr, Vancouver, BC V5N 4M4",Community center,49.25548,-123.06543,,,,,,,0%,0%,0%,59%,45%,55%,,97%,55%,69%,74%,62%,71%,73%,0%,46%,0%,0%,,,,,,,0%,0%,0%,34%,88%,55%,,80%,91%,57%,77%,0%,58%,67%,57%,0%,0%,0%,,,,,,,0%,0%,33%,29%,46%,100%,,55%,75%,79%,57%,86%,0%,47%,56%,38%,0%,0%,,,,,,,0%,0%,0%,57%,40%,55%,,62%,57%,76%,66%,59%,83%,0%,36%,39%,0%,0%,,,,,,,0%,0%,0%,41%,79%,50%,,93%,60%,65%,77%,0%,62%,73%,0%,29%,0%,0%,,,,,,,0%,0%,0%,34%,60%,93%,,60%,90%,60%,69%,81%,0%,64%,56%,0%,0%,0%,,,,,,,0%,0%,33%,34%,47%,76%,,56%,62%,89%,63%,72%,79%,0%,60%,39%,0%,0%,81%,55%,60%,98%,57%,54%,97%,,,,,,,,
35,Mount Pleasant Community Fridge,"273 E 4th Ave, Vancouver, BC V5T 1G6",Community center,49.2674,-123.09894,,20%,70%,10%,10%,20%,50%,20%,30%,0%,10%,80%,,60%,10%,0%,0%,20%,10%,0%,40%,30%,80%,20%,,40%,20%,70%,10%,10%,20%,40%,20%,30%,20%,0%,,0%,40%,20%,0%,10%,20%,30%,0%,30%,10%,60%,,0%,60%,20%,30%,0%,20%,30%,50%,10%,40%,30%,,10%,0%,10%,50%,0%,30%,0%,40%,10%,30%,10%,,30%,0%,20%,20%,60%,0%,50%,40%,30%,30%,40%,,50%,0%,10%,0%,40%,10%,20%,10%,10%,20%,40%,,40%,40%,10%,10%,20%,30%,10%,30%,30%,60%,60%,,10%,100%,0%,0%,0%,50%,30%,30%,0%,0%,70%,,40%,40%,20%,10%,20%,10%,10%,10%,40%,10%,60%,,10%,0%,70%,0%,0%,10%,60%,80%,70%,30%,0%,,100%,30%,10%,50%,30%,40%,10%,0%,20%,70%,10%,,10%,0%,0%,60%,0%,0%,20%,30%,70%,30%,40%,0%,40%,20%,30%,30%,30%,100%,,60%,0%,50%,10%,40%,80%,10%
36,This World's Ours Centre,"191 E 10th Ave, Vancouver, BC V5T 1Z2",Community center,49.26213,-123.10142,,,,,,,0%,0%,0%,0%,89%,55%,,82%,48%,34%,37%,68%,37%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,41%,82%,,17%,58%,58%,51%,0%,58%,37%,0%,0%,0%,0%,,,,,,,0%,0%,0%,3%,17%,37%,,13%,27%,31%,55%,27%,0%,72%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,31%,,89%,10%,37%,31%,65%,17%,0%,65%,0%,0%,0%,,,,,,,0%,0%,0%,44%,44%,24%,,62%,86%,6%,79%,0%,55%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,72%,34%,100%,,44%,55%,62%,17%,72%,0%,75%,0%,0%,0%,0%,,,,,,,0%,0%,0%,75%,79%,24%,,37%,41%,72%,65%,20%,79%,0%,0%,0%,0%,0%,24%,37%,93%,55%,72%,31%,93%,,,,,,,,
37,Lions Gate Community Recreation Centre,"1733 Lions Gate Ln, North Vancouver, BC V7P 0C7",Recreation center,49.32585,-123.12203,,,,,,,0%,7%,8%,36%,26%,28%,,100%,16%,30%,52%,45%,36%,50%,0%,0%,0%,0%,,,,,,,0%,0%,17%,7%,54%,33%,,17%,93%,23%,32%,0%,38%,41%,35%,0%,0%,0%,,,,,,,0%,4%,28%,17%,13%,56%,,44%,15%,75%,36%,34%,0%,32%,33%,0%,0%,0%,,,,,,,0%,21%,6%,44%,17%,26%,,30%,43%,14%,64%,60%,50%,0%,0%,0%,0%,0%,,,,,,,0%,5%,14%,13%,56%,15%,,43%,26%,45%,26%,0%,64%,45%,0%,0%,0%,0%,,,,,,,0%,0%,11%,23%,14%,76%,,40%,54%,34%,40%,32%,0%,61%,31%,0%,0%,0%,,,,,,,0%,5%,15%,26%,21%,22%,,16%,34%,53%,40%,35%,43%,0%,42%,0%,0%,0%,21%,32%,30%,53%,37%,18%,93%,,,,,,,,
38,West Point Grey Community Centre,"4397 W 2nd Ave, Vancouver, BC V6R 1K4",Community center,49.27155,-123.20515,,,,,,,0%,0%,23%,47%,39%,40%,,75%,34%,31%,57%,37%,56%,40%,0%,0%,0%,0%,,,,,,,0%,0%,24%,27%,65%,44%,,47%,81%,30%,39%,0%,36%,56%,36%,0%,0%,0%,,,,,,,0%,0%,0%,31%,37%,84%,,34%,40%,73%,33%,57%,0%,26%,36%,0%,0%,0%,,,,,,,0%,0%,34%,46%,31%,39%,,63%,34%,37%,56%,36%,62%,0%,0%,0%,0%,0%,,,,,,,0%,0%,31%,62%,71%,30%,,100%,65%,31%,43%,0%,50%,47%,0%,0%,0%,0%,,,,,,,0%,0%,11%,53%,79%,78%,,30%,100%,53%,33%,49%,0%,46%,33%,0%,0%,0%,,,,,,,0%,0%,0%,24%,52%,75%,,30%,31%,85%,40%,43%,44%,0%,37%,0%,0%,0%,59%,39%,55%,86%,42%,28%,75%,,,,,,,,
43,Hillcrest Centre,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Community center,49.2443,-123.10766,,,,,,,0%,0%,0%,56%,56%,51%,,94%,65%,78%,80%,83%,93%,76%,0%,0%,0%,0%,,,,,,,0%,0%,0%,40%,78%,64%,,73%,96%,74%,81%,0%,77%,89%,58%,0%,0%,0%,,,,,,,0%,0%,0%,42%,55%,91%,,59%,69%,96%,80%,84%,0%,62%,69%,0%,0%,0%,,,,,,,0%,0%,0%,63%,56%,65%,,66%,62%,68%,82%,86%,83%,0%,47%,0%,0%,0%,,,,,,,0%,0%,0%,37%,87%,64%,,95%,69%,63%,75%,0%,83%,78%,0%,0%,0%,0%,,,,,,,0%,0%,0%,31%,54%,96%,,78%,100%,75%,72%,84%,0%,74%,64%,0%,0%,0%,,,,,,,0%,0%,0%,44%,41%,70%,,63%,79%,96%,84%,86%,85%,0%,55%,0%,0%,0%,76%,56%,64%,92%,75%,63%,93%,,,,,,,,
44,Community Centre | West Vancouver,"2121 Marine Dr, West Vancouver, BC V7V 4Y2",Community center,49.33141,-123.17032,,,,,,0%,21%,,54%,73%,71%,,,85%,,89%,75%,80%,,29%,43%,,,0%,,,,,0%,,12%,33%,,72%,71%,72%,,89%,78%,,87%,82%,69%,,18%,0%,,,,,,,0%,8%,,25%,44%,,80%,68%,,,87%,76%,,75%,78%,53%,,0%,,,,,,,0%,7%,17%,,40%,57%,,85%,,62%,,78%,77%,,64%,70%,42%,,0%,,,,,,,10%,21%,30%,,60%,69%,,,64%,68%,,64%,78%,,50%,53%,0%,,,,,,,0%,,22%,40%,46%,,77%,76%,,86%,70%,80%,,53%,75%,,36%,0%,,,,,,,0%,13%,,39%,58%,65%,,87%,,,87%,73%,87%,,39%,60%,,0%,0%,,88%,,64%,63%,82%,,79%,,,,,,,,
45,Community Centre | West Vancouver,"2121 Marine Dr, West Vancouver, BC V7V 4Y2",Community center,49.33141,-123.17032,,,,,,0%,21%,,54%,73%,71%,,,85%,,89%,75%,80%,,29%,43%,,,0%,,,,,0%,,12%,33%,,72%,71%,72%,,89%,78%,,87%,82%,69%,,18%,0%,,,,,,,0%,8%,,25%,44%,,80%,68%,,,87%,76%,,75%,78%,53%,,0%,,,,,,,0%,7%,17%,,40%,57%,,85%,,62%,,78%,77%,,64%,70%,42%,,0%,,,,,,,10%,21%,30%,,60%,69%,,,64%,68%,,64%,78%,,50%,53%,0%,,,,,,,0%,,22%,40%,46%,,77%,76%,,86%,70%,80%,,53%,75%,,36%,0%,,,,,,,0%,13%,,39%,58%,65%,,87%,,,87%,73%,87%,,39%,60%,,0%,0%,,88%,,64%,63%,82%,,79%,,,,,,,,
