index,name,address,category,latitude,longitude,popular_times,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
2,Rexall,"88 W Pender St #1173, Vancouver, BC V6B 6N9",Drug store,49.27981,-123.10674,,,,,,,,0%,0%,33%,16%,75%,25%,,16%,33%,25%,33%,66%,58%,16%,8%,58%,0%,0%,,,,,,,0%,0%,8%,50%,25%,50%,,25%,25%,50%,50%,16%,41%,33%,25%,8%,0%,0%,,,,,,,0%,0%,8%,25%,58%,33%,,16%,8%,33%,66%,75%,8%,8%,16%,8%,0%,0%,,,,,,,0%,0%,66%,25%,66%,41%,,41%,8%,0%,8%,66%,50%,8%,0%,16%,0%,0%,,,,,,,0%,0%,16%,41%,41%,66%,,25%,33%,16%,0%,0%,33%,33%,16%,0%,0%,0%,,,,,,,0%,0%,33%,0%,50%,41%,,16%,16%,50%,25%,8%,8%,41%,41%,41%,0%,0%,,,,,,,0%,0%,16%,75%,8%,16%,,41%,8%,16%,100%,50%,16%,16%,66%,58%,0%,0%,16%,16%,41%,33%,25%,75%,16%,,,,,,,
3,Owl Drugs,"199 E Hastings St, Vancouver, BC V6A 1N5",Pharmacy,49.28149,-123.09989,,,,,,,0%,16%,8%,45%,25%,25%,12%,,75%,50%,45%,54%,33%,50%,0%,0%,0%,0%,,,,,,,0%,8%,25%,25%,33%,37%,33%,,75%,66%,62%,33%,54%,12%,29%,0%,0%,0%,,,,,,,0%,8%,4%,37%,29%,37%,45%,,29%,83%,58%,70%,0%,54%,8%,0%,0%,0%,,,,,,,0%,33%,4%,0%,16%,45%,37%,,79%,45%,70%,50%,41%,0%,37%,0%,0%,0%,,,,,,,0%,20%,25%,12%,0%,20%,66%,,33%,100%,50%,29%,37%,20%,0%,0%,0%,0%,,,,,,,0%,25%,37%,12%,12%,8%,37%,,33%,41%,87%,58%,0%,20%,4%,0%,0%,0%,,,,,,,0%,8%,50%,20%,12%,16%,29%,,70%,29%,54%,70%,45%,0%,12%,0%,0%,0%,,54%,25%,62%,45%,33%,66%,66%,,,,,,,
4,Shoppers Drug Mart,"586 Granville St, Vancouver, BC V6C 1X5",Pharmacy,49.28359,-123.11595,,,,,,,,0%,27%,22%,0%,40%,13%,,31%,40%,86%,9%,22%,27%,27%,54%,31%,0%,0%,,,,,,,0%,0%,45%,40%,50%,72%,,40%,27%,72%,63%,4%,31%,36%,9%,40%,0%,0%,,,,,,,0%,50%,81%,22%,59%,31%,,40%,40%,13%,100%,81%,9%,18%,68%,0%,0%,0%,,,,,,,0%,9%,86%,59%,22%,36%,,40%,77%,50%,9%,59%,40%,27%,22%,45%,0%,0%,,,,,,,0%,13%,18%,100%,63%,31%,,68%,13%,40%,72%,22%,45%,50%,18%,45%,0%,0%,,,,,,,0%,0%,13%,40%,68%,40%,,36%,68%,4%,27%,72%,40%,45%,45%,27%,0%,0%,,,,,,,0%,18%,0%,22%,18%,40%,,27%,40%,31%,9%,18%,50%,54%,63%,86%,0%,0%,45%,31%,45%,36%,31%,18%,31%,,,,,,,
6,Shoppers Drug Mart,"748 Burrard St Unit 104 & 201, Vancouver, BC V6Z 2V6",Pharmacy,49.28355,-123.12208,,,,,,,,0%,0%,5%,47%,13%,34%,,47%,36%,44%,94%,55%,42%,73%,18%,23%,0%,0%,,,,,,,0%,0%,28%,13%,42%,15%,,81%,44%,60%,73%,92%,47%,44%,55%,31%,0%,0%,,,,,,,0%,0%,39%,28%,5%,36%,,55%,92%,28%,60%,68%,63%,18%,42%,34%,0%,0%,,,,,,,0%,0%,21%,52%,44%,5%,,10%,63%,52%,34%,50%,57%,52%,5%,28%,0%,0%,,,,,,,0%,0%,23%,36%,52%,47%,,28%,26%,89%,36%,36%,31%,47%,21%,2%,0%,0%,,,,,,,0%,0%,21%,13%,60%,57%,,21%,57%,36%,78%,50%,18%,36%,65%,10%,0%,0%,,,,,,,0%,0%,23%,13%,15%,68%,,21%,36%,100%,52%,60%,57%,18%,31%,42%,0%,0%,89%,42%,10%,15%,7%,26%,52%,,,,,,,
9,Davie Pharmacy,"1232 Davie St, Vancouver, BC V6E 1N3",Pharmacy,49.28213,-123.13414,,,,,,,,0%,0%,0%,0%,72%,54%,,63%,63%,54%,0%,18%,36%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,45%,9%,54%,,72%,27%,63%,27%,0%,27%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,27%,45%,27%,,36%,81%,9%,63%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,9%,27%,,36%,27%,90%,0%,81%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,9%,0%,27%,,27%,9%,27%,81%,0%,45%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,54%,18%,18%,,54%,0%,9%,54%,72%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,54%,63%,45%,,100%,90%,0%,18%,36%,27%,0%,0%,0%,0%,0%,54%,36%,72%,54%,36%,72%,27%,,,,,,,
10,Shoppers Drug Mart,"1202 W Pender St, Vancouver, BC V6E 2S9",Pharmacy,49.28836,-123.12384,,,,,,,,0%,0%,0%,22%,38%,45%,,62%,79%,61%,35%,60%,46%,31%,37%,53%,13%,16%,,,,,,,0%,0%,0%,9%,20%,44%,,47%,61%,86%,59%,29%,60%,46%,15%,20%,35%,13%,,,,,,,0%,0%,0%,37%,25%,20%,,40%,50%,50%,100%,57%,30%,64%,45%,7%,14%,20%,,,,,,,0%,0%,0%,23%,49%,40%,,40%,35%,53%,41%,82%,42%,31%,56%,27%,4%,4%,,,,,,,0%,0%,0%,16%,35%,59%,,33%,39%,39%,52%,43%,67%,29%,28%,47%,19%,4%,,,,,,,0%,0%,0%,32%,29%,40%,,58%,41%,48%,46%,55%,44%,61%,22%,27%,36%,13%,,,,,,,0%,0%,0%,21%,31%,36%,,76%,59%,33%,57%,46%,42%,47%,57%,12%,19%,17%,40%,42%,50%,25%,53%,63%,55%,,,,,,,
13,Rexall,"499 Granville St, Vancouver, BC V6C 1T1",Drug store,49.28491,-123.11479,,,,,,,,0%,38%,85%,23%,19%,23%,,47%,64%,61%,14%,69%,88%,33%,0%,0%,0%,0%,,,,,,,0%,0%,26%,76%,21%,21%,,23%,42%,47%,71%,19%,76%,54%,30%,0%,0%,0%,,,,,,,0%,45%,0%,14%,47%,11%,,28%,33%,40%,21%,73%,7%,54%,42%,0%,0%,0%,,,,,,,0%,9%,26%,30%,19%,21%,,52%,42%,38%,23%,16%,71%,4%,40%,0%,0%,0%,,,,,,,0%,16%,2%,21%,16%,42%,,11%,69%,66%,40%,26%,30%,50%,0%,0%,0%,0%,,,,,,,0%,0%,14%,2%,16%,19%,,26%,16%,64%,90%,50%,26%,50%,42%,0%,0%,0%,,,,,,,0%,90%,0%,16%,11%,9%,,64%,35%,19%,57%,100%,50%,11%,50%,0%,0%,0%,9%,30%,50%,14%,11%,54%,26%,,,,,,,
14,London Drugs,"351 Abbott St Suite 150, Vancouver, BC V6B 0G6",Pharmacy,49.2825,-123.10793,,,,,,,,0%,0%,0%,0%,40%,48%,,57%,64%,75%,64%,86%,81%,37%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,41%,54%,,70%,64%,77%,91%,49%,68%,55%,0%,0%,0%,0%,,,,,,,0%,0%,0%,34%,27%,55%,,56%,77%,69%,81%,88%,27%,51%,0%,0%,0%,0%,,,,,,,0%,0%,0%,24%,45%,38%,,77%,71%,75%,70%,91%,71%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,24%,29%,51%,,73%,89%,77%,77%,68%,76%,47%,0%,0%,0%,0%,,,,,,,0%,0%,0%,19%,31%,43%,,55%,82%,100%,89%,77%,55%,50%,0%,0%,0%,0%,,,,,,,0%,0%,0%,28%,39%,40%,,61%,68%,81%,96%,95%,65%,39%,0%,0%,0%,0%,56%,60%,72%,62%,49%,51%,45%,,,,,,,
15,Corning Drugs,"515 Main St #101, Vancouver, BC V6A 2V1",Pharmacy,49.28005,-123.09995,,,,,,,,,0%,0%,68%,63%,10%,,,15%,21%,21%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,5%,100%,57%,,84%,,5%,10%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,31%,5%,94%,,21%,63%,,21%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,63%,15%,,31%,10%,42%,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,31%,,63%,,26%,15%,10%,15%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,15%,63%,,,31%,10%,0%,10%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,31%,10%,57%,,36%,36%,15%,0%,0%,0%,,0%,0%,0%,0%,84%,10%,57%,57%,26%,68%,,,,,,,,
16,Rexall,"200 Burrard St UNIT #R010, Vancouver, BC V6C 3L6",Drug store,49.28765,-123.11536,,,,,,,,0%,0%,70%,37%,92%,25%,,29%,18%,18%,11%,11%,22%,29%,0%,0%,0%,0%,,,,,,,0%,0%,11%,44%,44%,48%,,48%,40%,22%,33%,25%,29%,18%,0%,0%,0%,0%,,,,,,,0%,0%,25%,25%,37%,88%,,7%,37%,37%,44%,51%,0%,66%,0%,0%,0%,0%,,,,,,,0%,0%,14%,40%,11%,33%,,18%,3%,25%,37%,48%,40%,0%,0%,0%,0%,0%,,,,,,,0%,0%,59%,48%,44%,3%,,59%,14%,11%,33%,18%,51%,48%,0%,0%,0%,0%,,,,,,,0%,0%,70%,85%,59%,37%,,25%,18%,3%,29%,22%,0%,33%,0%,0%,0%,0%,,,,,,,0%,0%,40%,100%,44%,96%,,3%,18%,7%,3%,44%,22%,0%,0%,0%,0%,0%,70%,18%,33%,59%,22%,0%,29%,,,,,,,
17,Shoppers Drug Mart,"1125 Davie St, Vancouver, BC V6E 1N2",Pharmacy,49.28098,-123.1315,,,17%,10%,13%,9%,13%,6%,14%,23%,36%,60%,46%,,66%,77%,81%,100%,71%,68%,70%,60%,45%,37%,46%,,37%,14%,8%,14%,7%,17%,9%,22%,33%,51%,74%,,60%,66%,79%,84%,92%,64%,61%,61%,51%,37%,34%,,22%,28%,8%,10%,8%,12%,17%,17%,30%,48%,67%,,64%,61%,72%,80%,82%,83%,59%,55%,50%,46%,36%,,23%,11%,20%,11%,10%,8%,15%,21%,34%,42%,59%,,88%,71%,63%,75%,78%,72%,70%,55%,47%,46%,39%,,28%,18%,6%,10%,9%,16%,13%,21%,31%,49%,53%,,86%,99%,77%,68%,72%,69%,63%,57%,50%,40%,41%,,19%,20%,16%,12%,9%,10%,18%,25%,30%,38%,60%,,69%,96%,90%,75%,74%,72%,65%,55%,51%,49%,34%,,18%,15%,13%,10%,9%,10%,15%,26%,42%,37%,50%,,71%,74%,99%,82%,73%,79%,64%,54%,46%,46%,48%,55%,56%,84%,79%,64%,65%,62%,42%,36%,29%,31%,30%,29%,23%
19,Shoppers Drug Mart,"1020 Denman St, Vancouver, BC V6G 2M5",Pharmacy,49.28903,-123.1389,,,,,,,,0%,0%,23%,36%,44%,47%,,86%,60%,60%,76%,67%,52%,55%,68%,60%,45%,21%,,,,,,,0%,0%,38%,29%,50%,51%,,56%,97%,73%,66%,82%,66%,49%,60%,55%,35%,23%,,,,,,,0%,0%,23%,44%,39%,71%,,65%,54%,100%,86%,57%,94%,55%,53%,52%,41%,16%,,,,,,,0%,0%,19%,32%,53%,35%,,61%,60%,60%,91%,94%,56%,92%,55%,51%,34%,24%,,,,,,,0%,0%,21%,28%,49%,52%,,89%,65%,61%,63%,76%,89%,55%,80%,47%,39%,16%,,,,,,,0%,0%,24%,23%,35%,63%,,39%,79%,64%,63%,64%,74%,82%,65%,57%,39%,21%,,,,,,,0%,0%,0%,32%,32%,48%,,57%,49%,77%,74%,61%,57%,69%,73%,63%,40%,26%,51%,56%,60%,82%,41%,55%,76%,,,,,,,
21,London Drugs,"710 Granville St, Vancouver, BC V6Z 1E4",Pharmacy,49.28219,-123.11816,,,,,,,,0%,0%,23%,0%,48%,59%,,63%,86%,93%,73%,87%,85%,63%,46%,31%,0%,0%,,,,,,,0%,0%,31%,33%,23%,57%,,79%,70%,88%,95%,66%,73%,67%,45%,32%,0%,0%,,,,,,,0%,0%,0%,45%,46%,36%,,78%,90%,73%,97%,87%,55%,62%,45%,32%,0%,0%,,,,,,,0%,0%,22%,27%,53%,55%,,77%,87%,92%,76%,97%,75%,39%,48%,28%,0%,0%,,,,,,,0%,0%,33%,35%,31%,62%,,66%,78%,92%,96%,69%,84%,62%,0%,33%,0%,0%,,,,,,,0%,0%,29%,45%,46%,42%,,80%,77%,82%,100%,92%,63%,65%,48%,0%,0%,0%,,,,,,,0%,0%,0%,39%,51%,55%,,81%,88%,77%,89%,98%,77%,59%,48%,31%,0%,0%,69%,70%,69%,51%,72%,73%,55%,,,,,,,
29,London Drugs,"1187 Robson St, Vancouver, BC V6E 1B5",Pharmacy,49.28584,-123.12639,,,,,,,,0%,0%,0%,0%,32%,48%,,36%,51%,66%,57%,97%,67%,52%,53%,25%,0%,0%,,,,,,,0%,0%,0%,16%,37%,43%,,42%,46%,66%,84%,44%,72%,59%,38%,38%,0%,0%,,,,,,,0%,0%,0%,24%,26%,48%,,51%,54%,53%,85%,95%,29%,59%,43%,29%,0%,0%,,,,,,,0%,0%,0%,21%,38%,42%,,79%,59%,61%,61%,94%,100%,17%,38%,25%,0%,0%,,,,,,,0%,0%,0%,22%,39%,50%,,56%,87%,71%,64%,64%,97%,91%,0%,32%,0%,0%,,,,,,,0%,0%,0%,35%,28%,29%,,49%,61%,90%,82%,71%,60%,72%,73%,0%,0%,0%,,,,,,,0%,0%,0%,27%,48%,33%,,52%,58%,59%,93%,86%,58%,60%,55%,46%,0%,0%,31%,49%,63%,56%,46%,50%,39%,,,,,,,
36,Pharmasave Howe Street,"1070 Howe St, Vancouver, BC V6Z 1P5",Pharmacy,49.27897,-123.12515,,,,,,,,0%,0%,0%,71%,50%,35%,,0%,64%,28%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,7%,100%,64%,,21%,0%,28%,21%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,28%,21%,100%,,7%,35%,0%,7%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,28%,64%,28%,,57%,7%,50%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,85%,28%,64%,,0%,64%,14%,78%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,7%,42%,50%,,21%,0%,50%,14%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,35%,21%,28%,,57%,21%,0%,21%,0%,0%,0%,0%,0%,0%,0%,28%,14%,57%,92%,42%,42%,50%,,,,,,,
38,Pharmasave - Burrard & Davie,"1160 Burrard St #101, Vancouver, BC V6Z 2E8",Pharmacy,49.27927,-123.12838,,,,,,,,,0%,87%,68%,6%,81%,,,100%,56%,18%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,68%,68%,50%,18%,,43%,,87%,62%,25%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,68%,43%,25%,,43%,68%,,62%,87%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,18%,,56%,12%,,18%,43%,75%,,43%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,37%,50%,,62%,,25%,37%,50%,37%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,75%,56%,,,31%,18%,56%,50%,18%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,31%,0%,93%,56%,,81%,50%,25%,62%,31%,0%,,0%,0%,0%,0%,50%,50%,18%,18%,12%,50%,,,,,,,,
